title,mc_score,release,mc_url,steam_url
Yars Revenge,,2011-04-28,http://www.metacritic.com/game/pc/yars-revenge,http://store.steampowered.com/app/99120/
Dirt 3,,2011-05-24,http://www.metacritic.com/game/pc/dirt-3,http://store.steampowered.com/app/901636/
Naval Warfare,,2011-05-25,http://www.metacritic.com/game/pc,http://store.steampowered.com/app/98500/
F1 Race Stars,,2012-11-13,http://www.metacritic.com/game/pc/f1-race-stars,http://store.steampowered.com/app/203680
Scary Girl,,2012-04-09,http://www.metacritic.com/game/pc/scarygirl,http://store.steampowered.com/app/202370
Adventures of Shuggy,,2012-06-13,http://www.metacritic.com/game/pc/the-adventures-of-shuggy,http://store.steampowered.com/app/211440
Castle Crashers,,2012-09-06,http://www.metacritic.com/game/pc/castle-crashers,http://store.steampowered.com/app/204360
Planets Under Attack,,2012-09-27,http://www.metacritic.com/game/pc/planets-under-attack,http://store.steampowered.com/app/218510
Rotastic,,2012-10-11,http://www.metacritic.com/game/pc/rotastic,http://store.steampowered.com/app/204580
Babel Rising,,2012-08-07,http://www.metacritic.com/game/pc/babel-rising,http://store.steampowered.com/app/204840
Alien Zombie Megadeath,,2011-10-18,http://www.metacritic.com/game/pc/alien-zombie-megadeath,http://store.steampowered.com/app/110610
Mutant Storm Reloaded,,2012-03-21,http://www.metacritic.com/game/pc/mutant-storm-reloaded,http://store.steampowered.com/app/110630
Kung Fu Strike: The Warrior's Rise,,2012-07-24,http://www.metacritic.com/game/pc/kung-fu-strike-the-warriors-rise,http://store.steampowered.com/app/212030
GundeadliGne,,2012-09-27,http://www.metacritic.com/game/pc/gundeadligne,http://store.steampowered.com/app/92220
Gundemonium Recollection,,2011-09-27,http://www.metacritic.com/game/pc/gundemonium-recollection,http://store.steampowered.com/app/92200
Worms Armageddon,,2012-11-13,http://www.metacritic.com/game/pc/worms-armageddon,http://store.steampowered.com/app/217200
Dogfight 1942,,2012-09-21,http://www.metacritic.com/game/pc/dogfight-1942,http://store.steampowered.com/app/217790
Magical Drop V,,2012-11-15,http://www.metacritic.com/game/pc/magical-drop-v,http://store.steampowered.com/app/204960
Cabela's® Dangerous Hunts 2013,,2012-10-22,http://www.metacritic.com/game/pc/cabelas-dangerous-hunts-2013,http://store.steampowered.com/app/218860
Conquest of Elysium 3,,2012-10-24,http://www.metacritic.com/game/pc/conquest-of-elysium-3,http://store.steampowered.com/app/211900
Sonic Adventure 2,,2012-11-19,http://www.metacritic.com/game/pc/sonic-adventure-2-hd,http://store.steampowered.com/app/213610
